usuario_id,usuario_sexo,usuario_edad,fecha_alta,hora_alta
613464,F,35,21/09/2018,5:57:28
613465,M,22,14/09/2018,5:57:21
613472,M,52,18/09/2018,5:57:25
613476,M,26,14/09/2018,5:57:21
613479,F,43,14/09/2018,5:57:21
490853,F,30,02/01/2018,5:53:06
490858,M,29,05/01/2018,5:53:09
490877,F,30,28/02/2018,5:54:03
490881,F,20,02/01/2018,5:53:06
490885,M,17,06/01/2018,5:53:10
491620,M,26,08/01/2018,5:53:12
491622,F,21,08/01/2018,5:53:12
491623,F,29,08/01/2018,5:53:12
491627,M,37,08/01/2018,5:53:12
491629,F,30,08/01/2018,5:53:12
491630,F,27,08/01/2018,5:53:12
491636,M,25,08/01/2018,5:53:12
491638,M,29,16/01/2018,5:53:20
491640,M,39,17/03/2018,5:54:20
491641,M,33,08/01/2018,5:53:12
491645,M,39,08/01/2018,5:53:12
491647,F,26,08/01/2018,5:53:12
492444,M,47,01/01/2018,5:53:05
492446,M,26,01/01/2018,5:53:05
492453,M,25,01/01/2018,5:53:05
492457,F,33,01/01/2018,5:53:05
492458,M,43,14/10/2018,5:57:51
492461,F,45,27/02/2018,5:54:02
492465,F,31,04/01/2018,5:53:08
492466,F,38,06/08/2018,5:56:42
492470,M,20,08/01/2018,5:53:12
492475,M,29,01/01/2018,5:53:05
492481,F,53,01/01/2018,5:53:05
492484,M,22,31/07/2018,5:56:36
492485,F,20,01/01/2018,5:53:05
492486,M,24,08/01/2018,5:53:12
614585,F,51,16/09/2018,5:57:23
614591,F,21,16/09/2018,5:57:23
614593,M,37,18/09/2018,5:57:25
614594,M,32,17/09/2018,5:57:24
614595,F,31,16/09/2018,5:57:23
614598,F,24,23/09/2018,5:57:30
614603,M,32,05/10/2018,5:57:42
614604,M,30,16/09/2018,5:57:23
614609,M,43,16/09/2018,5:57:23
614611,F,20,17/09/2018,5:57:24
614614,M,32,04/10/2018,5:57:41
614618,M,17,01/10/2018,5:57:38
614619,M,19,18/09/2018,5:57:25
615274,M,26,18/09/2018,5:57:25
615275,F,44,18/09/2018,5:57:25
615282,F,29,24/09/2018,5:57:31
615288,M,28,18/09/2018,5:57:25
615292,M,49,18/09/2018,5:57:25
615297,F,21,24/09/2018,5:57:31
615301,F,30,24/09/2018,5:57:31
615304,F,24,26/09/2018,5:57:33
615305,F,27,26/09/2018,5:57:33
615306,F,33,01/10/2018,5:57:38
615308,M,18,24/09/2018,5:57:31
615309,F,25,29/09/2018,5:57:36
615313,F,32,26/09/2018,5:57:33
492891,M,26,08/11/2018,5:58:16
492906,M,24,13/08/2018,5:56:49
492908,M,31,11/09/2018,5:57:18
492912,F,24,12/01/2018,5:53:16
492924,M,46,31/08/2018,5:57:07
492926,F,21,12/01/2018,5:53:16
493707,M,34,02/02/2018,5:53:37
493713,F,32,17/04/2018,5:54:51
493716,M,34,05/02/2018,5:53:40
493720,F,23,29/01/2018,5:53:33
494436,M,36,02/01/2018,5:53:06
494439,F,28,07/01/2018,5:53:11
494447,M,31,10/01/2018,5:53:14
494471,M,23,09/01/2018,5:53:13
495223,M,29,13/11/2018,5:58:21
495228,F,45,02/01/2018,5:53:06
495231,F,30,03/01/2018,5:53:07
495232,M,16,05/10/2018,5:57:42
495238,M,37,05/01/2018,5:53:09
495239,M,32,05/01/2018,5:53:09
495248,M,21,05/04/2018,5:54:39
495253,F,28,02/01/2018,5:53:06
495254,M,27,02/01/2018,5:53:06
495257,M,45,02/01/2018,5:53:06
495259,F,23,02/01/2018,5:53:06
495260,F,36,24/03/2018,5:54:27
495261,F,29,17/01/2018,5:53:21
495262,M,28,02/01/2018,5:53:06
495263,M,27,04/09/2018,5:57:11
495264,F,26,07/01/2018,5:53:11
495269,M,32,05/01/2018,5:53:09
495272,M,52,18/01/2018,5:53:22
495273,F,53,02/01/2018,5:53:06
495952,M,48,05/01/2018,5:53:09
495956,M,24,03/01/2018,5:53:07
495958,M,29,28/03/2018,5:54:31
495959,F,42,04/01/2018,5:53:08
495960,F,30,03/01/2018,5:53:07
495962,M,48,03/01/2018,5:53:07
495963,M,21,03/01/2018,5:53:07
495965,M,33,03/01/2018,5:53:07
495967,F,57,03/01/2018,5:53:07
495968,M,49,04/01/2018,5:53:08
495971,M,28,03/01/2018,5:53:07
495972,F,31,07/01/2018,5:53:11
495973,M,34,04/01/2018,5:53:08
495976,F,16,03/01/2018,5:53:07
495979,F,50,04/01/2018,5:53:08
495980,M,38,04/01/2018,5:53:08
495982,M,33,04/01/2018,5:53:08
495983,M,36,04/01/2018,5:53:08
495985,M,40,03/01/2018,5:53:07
495986,M,26,05/01/2018,5:53:09
495987,F,41,04/06/2018,5:55:39
495993,M,49,03/01/2018,5:53:07
616103,M,18,20/09/2018,5:57:27
616107,F,31,19/09/2018,5:57:26
616117,M,63,20/09/2018,5:57:27
616118,F,20,19/09/2018,5:57:26
616122,M,18,19/09/2018,5:57:26
616123,F,36,19/09/2018,5:57:26
616124,M,40,20/09/2018,5:57:27
616125,M,30,20/09/2018,5:57:27
616130,M,37,26/09/2018,5:57:33
616136,F,28,23/09/2018,5:57:30
616800,F,21,20/09/2018,5:57:27
616801,M,20,28/09/2018,5:57:35
616802,F,33,03/10/2018,5:57:40
616803,F,25,20/09/2018,5:57:27
616804,M,19,20/09/2018,5:57:27
616810,M,25,21/09/2018,5:57:28
616811,F,28,20/09/2018,5:57:27
616814,M,28,20/09/2018,5:57:27
616818,F,30,21/09/2018,5:57:28
616821,M,29,01/10/2018,5:57:38
616826,M,34,20/09/2018,5:57:27
616832,M,29,20/09/2018,5:57:27
616833,F,36,22/09/2018,5:57:29
616835,F,28,22/09/2018,5:57:29
616837,F,36,20/09/2018,5:57:27
616838,F,21,20/09/2018,5:57:27
616840,M,25,28/09/2018,5:57:35
558496,F,27,01/06/2018,5:55:36
558497,M,28,01/06/2018,5:55:36
558498,M,68,01/06/2018,5:55:36
558504,M,29,01/06/2018,5:55:36
558505,F,27,01/06/2018,5:55:36
558506,M,35,01/06/2018,5:55:36
558509,F,44,01/06/2018,5:55:36
558510,F,62,01/06/2018,5:55:36
558511,F,26,01/06/2018,5:55:36
558512,M,26,01/06/2018,5:55:36
558516,M,36,01/06/2018,5:55:36
558517,M,21,22/06/2018,5:55:57
558520,F,23,01/06/2018,5:55:36
558521,M,21,10/09/2018,5:57:17
558522,M,36,01/06/2018,5:55:36
558527,F,26,01/06/2018,5:55:36
558529,F,22,01/06/2018,5:55:36
558531,M,30,01/06/2018,5:55:36
558532,F,50,02/10/2018,5:57:39
558534,F,26,01/06/2018,5:55:36
558539,F,18,01/06/2018,5:55:36
558542,M,67,01/06/2018,5:55:36
558543,F,25,01/06/2018,5:55:36
558544,M,30,07/06/2018,5:55:42
612797,F,23,13/09/2018,5:57:20
612801,F,27,13/09/2018,5:57:20
612804,M,29,18/09/2018,5:57:25
612805,F,25,13/09/2018,5:57:20
612810,M,30,13/09/2018,5:57:20
612811,F,20,13/09/2018,5:57:20
612814,F,19,13/09/2018,5:57:20
612818,F,49,13/09/2018,5:57:20
612823,F,19,13/09/2018,5:57:20
612824,F,28,13/09/2018,5:57:20
612826,M,36,18/09/2018,5:57:25
612832,M,30,13/09/2018,5:57:20
612833,M,22,13/09/2018,5:57:20
612837,F,31,15/09/2018,5:57:22
613482,M,32,14/09/2018,5:57:21
613487,M,35,14/09/2018,5:57:21
613490,M,25,14/09/2018,5:57:21
613491,F,22,14/09/2018,5:57:21
613492,M,45,14/09/2018,5:57:21
613496,M,41,20/09/2018,5:57:27
613497,M,26,15/09/2018,5:57:22
613499,M,31,17/09/2018,5:57:24
613516,M,22,16/09/2018,5:57:23
613519,F,33,15/09/2018,5:57:22
